Name,Department Profile,Specialties,Education,Location,About,Profile Link
Lauren A. Dalvin,Ophthalmologist ,Uveal melanoma | Retinoblastoma | Vitreoretinal lymphoma | Conjunctival melanoma ,"Fellowship - Ocular OncologyWills Eye Hospital | 2017ResidencyResidency Training Program, Department of Ophthalmology | 2017ResidentOphthalmology, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2014Internship - Internal MedicineMayo Clinic Rochester Programs | 2013MDNortheast Ohio Medical University (NEOMED) | 2009BS/MD - Integrated Life Sciences - Accelerated BS/MD program with NEOMEDYoungstown State University ","Rochester, Minnesota","Lauren A. Dalvin, M.D., is an ophthalmologist with subspecialty training in ocular oncology. Her clinical focus includes:Expertise in management of intraocular tumors, including uveal melanoma, retinoblastoma, and vitreoretinal lymphoma.Collaboration with cornea specialists and oculoplastic surgeons to provide care for ocular surface and orbital tumors, including conjunctival melanoma.Working with a multidisciplinary team including medical oncologists, radiation oncologists, radiation physicists, interventional radiologists, and ophthalmic geneticists to provide the highest quality comprehensive care to patients with eye cancer.In addition to her clinical activities, Dr. Dalvin is also involved in research and education. She provides mentorship to medical students, residents, and fellows. She engages in clinical and translational research and authors expert content in scientific journals to advance the field of ocular oncology.",https://www.mayoclinic.org/biographies/dalvin-lauren-a-m-d/bio-20468930
Stephen M. Ansell,Hematologist | Internist | Oncologist ,Non-Hodgkins lymphoma | Hodgkin's disease ,"Fellow - Hematology/OncologyMayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 1996Resident - Internal MedicineMayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 1994Registrar - Internal MedicineUniversity of the Witwatersrand | 1992Fellow - Medical OncologyUniversity of Pretoria | 1990PhD - Medical SciencesUniversity of Pretoria | 1990Resident - Internal MedicineUniversity of Pretoria | 1989Diploma - Diploma in Tropical Medicine & HygieneUniversity of the Witwatersrand | 1987Internship - Internal Medicine/SurgeryUniversity of the Witwatersrand | 1986MB ChB - Medicine and SurgeryUniversity of Pretoria ","Rochester, Minnesota",,https://www.mayoclinic.org/biographies/ansell-stephen-m-m-d-ph-d/bio-20053059
John M. Stulak,Cardiovascular Surgeon ,"Cardiac transplantation | Mechanical circulatory support (left ventricular assist device, total artificial heart, ECMO) | Arrhythmia surgery (Maze procedure) | Valvular heart disease | Coronary artery disease | Pericardial disease | Ascending Aortic aneurysm, Valve-sparing root replacement | Cardiac tumors ","Fellow - Cardiac Transplantation and Mechanical Circulatory SupportUniversity of Michigan | 2010Chief Resident - Thoracic and Cardiovascular SurgeryMayo Clinic School of Graduate Medical Education | 2010ResidentThoracic Surgery, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2008Resident - Thoracic and Cardiovascular SurgeryMayo Clinic School of Graduate Medical Education | 2006Chief Resident - General SurgeryMayo Clinic School of Graduate Medical Education | 2006ResidentSurgery, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2005Resident - General SurgeryMayo Clinic School of Graduate Medical Education | 2001MDTemple University School of Medicine | 1995BSWest Chester University ","Rochester, Minnesota","John M. Stulak, M.D., is a Professor of Surgery in the Department of Cardiovascular surgery. His clinical focus includes:    Management of coronary artery disease, especially coronary artery bypass grafting with multiple arterial revascularization and redo coronary artery bypass surgery    Management of patients with valvular heart disease    Expertise with specific training in surgical treatment of advanced heart failure including high-risk conventional corrective heart surgery, mechanical circulatory assistance, and heart transplantation    Special interest in surgical ablation of atrial fibrillation and evolving techniques of alternate energy sources, as well as lesion sets    Management of patients with chronic relapsing or constrictive pericarditis, including preoperative hemodynamic optimization prior to surgical resectionIn addition to his clinical activities, Dr. Stulak is active in outcomes research and national clinical trials. From an education standpoint, he provides guidance and mentorship to medical students, residents and fellows. He authors expert content and publishes in high-impact scientific journals.Dr. Stulak currently serves as the Surgical Core Clerkship Director in the Mayo Medical School, Program Director of the Advanced Cardiovascular Surgery Fellowship, Program Director of the Fellowship in Mechanical Circulatory Assistance and Heart Transplantation, Associate Program Director of the Thoracic Surgery Residency, and Associate Program Director of the General Surgery Residency.",https://www.mayoclinic.org/biographies/stulak-john-m-m-d/bio-20055406
Gurpreet S. Sandhu,,Catheter based heart valve replacement and repair | Development of next-generation heart valve technologies | Development of novel interventional cardiology devices and stents | Interventional management of pulmonary hypertension | Minimally invasive treatment of complex coronary artery disease | Molecular and cellular investigation of vascular biology and healing | Telemedicine and International medicine ,"Fellow - Interventional CardiologyMayo Clinic in Rochester | 2003ResidentCardiovascular Disease, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2003Fellow - Cardiovascular DiseasesMayo Clinic in Rochester | 2000Resident - Internal MedicineUniversity of Minnesota, Minneapolis | 1997Post Doctoral FellowshipMayo Clinic in Rochester | 1992PhDMolecular Biology, Biochemistry and Molecular Biology, Programs, Mayo Graduate School, Mayo Clinic College of Medicine | 1992Predoctoral StudentMolecular Biology, Biochemistry and Molecular Biology, Programs, Mayo Graduate School, Mayo Clinic College of Medicine | 1986Internship and Junior Residency - 1-year rotating Internship, 1-year Cardiology and General SurgeryMaulana Azad Medical College, University of Delhi | 1985MB BSMaulana Azad Medical College, University of Delhi ","Rochester, Minnesota","Dr. Sandhu is the Vice Chair (International), Department of Cardiovascular Medicine, and was previously Chair, Division of Interventional Cardiology and the Director of the Mayo Clinic Cardiac Cath Lab. Leadership roles have included Medical Director (Europe) where he led the development of Mayo Clinic Healthcare at London. He is also a Professor of Medicine and was previously the Director of the Cardiovascular Innovation Laboratory for translational research. Clinical expertise includes complex coronary artery revascularization, treatment of valvular and structural heart disease, and interventional management of chronic thromboembolic pulmonary hypertension. Research interests include developing novel therapies for cardiovascular diseases based upon nanotechnology, cell therapy and interventional devices, and this has led to numerous patents covering molecular, cellular and device base technologies. He is also the Principal Investigator or co-investigator on national and international research grants and clinical studies.",https://www.mayoclinic.org/biographies/sandhu-gurpreet-s-m-d-ph-d/bio-20054631
Eric J. Dozois,"Colon and Rectal Surgeon | Surgical Oncologist | Program Director, Colon and rectal surgery, Minnesota ","Colon, rectal, and anal cancer | Recurrent colon and rectal cancer | Hereditary/genetic colorectal cancer | Colon and rectal polyps | Inflammatory Bowel disease including: indeterminate colitis, ulcerative colitis, and Crohn's disease | Polyposis syndromes and inflammatory bowel disease (Crohns and ulcerative colitis) including pouch reconstruction | Surgery for inflammatory bowel disease (IBD) | Bowel-sparing operations for Crohn's | Re-Operative corrective surgery (for leaks, ileal pouch leak and dysfunction) | Surgical Innovation | Anorectal disease | Colonoscopy | Laparoscopic surgery for colon cancer, rectal cancer and benign colorectal diseases | Robotic surgery for colorectal cancer and rectal prolapse | Surgery for locally advanced rectal cancer with intraoperative radiation treatment (IORT) | Diverticulitis and Diverticular disease | Multidisciplinary complex pelvic tumors | Multidisciplinary patient care | Surgical education | Complex pelvic tumors | Ulcerative colitis | Benign diseases of the colon and rectum | Presacral tumors | Familial adenomatous polyposis | Polyposis syndromes | Parastomal and abdominal wall hernias (open and robotic) | Enterocutaneous fistulas | Abdominal wall reconstruction | Ostomy dysfunction surgery ","ResidentColon and Rectal Surgery, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2001FellowDivision of Colon and Rectal Surgery, Department of General Surgery, Mayo Graduate School of Medicine, Mayo Clinic College of Medicine | 2000ResidentSurgery, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2000Chief Resident AssociateDivision of Gastroenterologic and General Surgery, Department of General Surgery, Mayo Graduate School of Medicine, Mayo Clinic College of Medicine | 1999ResidentDivision of Gastroenterologic and General Surgery, Department of General Surgery, Mayo Graduate School of Medicine, Mayo Clinic College of Medicine | 1995MDUniversity of Minnesota Medical School | 1990BA - BiologyUniversity of California, Santa Cruz ","Rochester, Minnesota","Eric J. Dozois, M.D., is a colon and rectal surgeon with a special interest in primary and recurrent colorectal cancer and minimally invasive abdominal surgery. He is the chair of the Division of Colonand Rectal Surgery at Mayo Clinic in Rochester, Minnesota. He is a Professor of Surgery at the Mayo Clinic College of Medicine and Science. His approach to care is person-centered.His clinical focus includes:    Primary and recurrent colon and rectal cancers    Presacral tumors    Complex pelvic tumors    Minimally invasive surgeryDr. Dozois earned his medical degree from the University of Minnesota Medical School. He completed his surgery residency in the Division of Gastroenterologic and General Surgery and his surgery fellowship in the Division of Colon and Rectal Surgery at the Mayo Clinic College of Medicine and Science.In addition to his clinical activities, Dr. Dozois is an active leader in research and education. He is widely published in the fields of colon and rectal surgery, pelvic surgery and bowel disease and has been awardedTeacher of the Year by the Mayo Clinic College of Medicine and Science.",https://www.mayoclinic.org/biographies/dozois-eric-j-m-d/bio-20053346
Kevin L. Greason,Cardiovascular Surgeon ,Cardiac and vascular surgery in adult-acquired cardiovascular disease | Endovascular surgery | Valve repair/replacement | Aneurysm surgery | Pericardial diseases | Transcatheter aortic valve replacement (TAVR) ,"Fellow - Endovascular SurgeryUniversity of Pittsburgh (3 months) | 2001ResidentThoracic Surgery, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 1998ResidentVascular Surgery, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 1995Chief Resident - General SurgeryNaval Medical Center San Diego | 1994Resident - General SurgeryNaval Medical Center San Diego | 1989Internship - General SurgeryNaval Medical Center San Diego | 1988BMSUniversity of Colorado School of Medicine | 1988MDUniversity of Colorado School of Medicine ","Rochester, Minnesota","Kevin L. Greason, M.D., is a cardiac surgeon, with special interest in adult aortic diseases, pericardial disease, and valvular cardiomyopathy. His clinical focus includes:    Expertise in management of aortic aneurysms, pericardial, aortic, mitral, and tricuspid valvular diseases.    Focused interest and expertise in transcatheter aortic valve insertion.In addition to his clinical activities, Dr. Greason is active in research and education, providing mentorship to residents and fellows. He authors expert content and publishes in high-impact scientific journals.",https://www.mayoclinic.org/biographies/greason-kevin-l-m-d/bio-20055097
Jan-Mendelt Tillema,,,"Scholarship - Quantitative MRI research in Multiple Sclerosis and inherited leukoencephalopathiesMentors: Prof. Barkhof and Prof. Van der KnaapVU University Medical Center | 2012Fellow - Multiple Sclerosis FellowshipFellowship director: Claudia Lucchinetti, M.D.Multiple Sclerosis Fellowship, Mayo Clinic | 2012ResidentMultiple Sclerosis, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2011Residency - Child Neurology Residency & FellowshipResidency Director: Donald L. Gilbert, M.D., M.S.Child Neurology Fellowship, Cincinnati Children's Hospital Medical Center and the University of Cincinnati College of Medicine | 2008Resident - Pediatric Neurology ResidencyPediatric Residency, Cinncinnati Children's Hospital Medical Center | 2006Research FellowshipCincinnati Children's Hospital Medical Center | 2005MDKatholieke Universiteit Nijmegen (Radboud University Nijmegen) ","Rochester, Minnesota",,https://www.mayoclinic.org/biographies/tillema-jan-mendelt-m-d/bio-20465628
Roberta H. Adams,Pediatric Hematologist / Oncologist | Pediatrician ,"Blood and marrow transplantation, adult and pediatric: graft engineering/cellular therapy and supportive care ","Fellow - Pediatric Hematology/OncologyDepartment of Pediatrics, University of Utah | 1984Resident - PediatricBoston Children's Hospital, Harvard University | 1982Internship - PediatricBoston Children's Hospital, Harvard University | 1981MDCollege of Physicians and Surgeons, Columbia University, New York, NY | 1977BS - Biology/ChemistryAntioch University ","Phoenix, Arizona",,https://www.mayoclinic.org/biographies/adams-roberta-h-m-d/bio-20053038
Sahil Khanna,Gastroenterologist ,C. difficile infection | Inflammatory bowel disease | Fecal microbiota transplantation | Clinical trials in C. difficile infection | Outcomes from fecal transplantation and role of the gut microbiome in C. difficile infection | Epidemiology and outcomes of C. difficile infection ,"FellowGastroenterology, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2012Clinician Investigator FellowClinician Investigator Training Program, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2012ResidentClinician Investigator, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2012BASIC SCIENCE MASTERSClinical and Translational Science, Programs, Mayo Graduate School, Mayo Clinic College of Medicine | 2012Master of ScienceCTSA Clinical and Translational Science Program, Mayo Graduate School of Medicine, Mayo Clinic College of Medicine | 2011ResidentInternal Medicine, Mayo Graduate School of Medicine, Mayo Clinic College of Medicine | 2011ResidentInternal Medicine, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2008Post Doctoral FellowshipUniversity of California San Diego | 2006InternshipAll India Institute of Medical Sciences | 2006Research ScholarJohns Hopkins University School of Medicine | 2004MBBSAll India Institute of Medical Sciences | 2000Undergraduate StudiesKhalsa College ","Rochester, Minnesota","Sahil Khanna, M.B.B.S., M.S. is a Gastroenterologist and Hepatologist with a special interest in colonic diseases including Gastrointestinal infections and the gut microbiome.- Expertise in management of primary and recurrent Clostridioides difficile infection - Evaluation of patients for microbiome based therapies such as fecal microbiota transplantation- Diagnosis and management of patients with undifferentiated Gastrointestinal symptoms- Passionate about educating patients to promote their understanding of their diseaseIn addition to clinical activities, Dr. Khanna is active in clinical research and trainee education. Areas of research interest include Epidemiology, Outcomes and Emerging Therapeutics for C difficile infection, an arena in which he has had numerous publications and presentations. His team participates and leads several clinical trials for management of recurrent C. difficile infection. Dr. Khanna provides mentorship to residents, fellows and research trainees. He authors expert content, clinical studies and publishes in high-impact scientific journals.Dr. Khanna directs the Comprehensive Gastroenterology Interest group, C. difficile Clinic, Fecal Microbiota Transplantation program and C. difficile related Clinical Trials at Mayo Clinic, Rochester, MN. He is the practice chair for the Inpatient Gastroenterology practice and the Residents' rotation director for the Internal Medicine Residency Program at Mayo Clinic, Rochester, MN.",https://www.mayoclinic.org/biographies/khanna-sahil-m-b-b-s-m-s/bio-20097159
Christine W. Galardy,Psychiatrist ,,"Chief ResidentInpatient Psychiatry Unit, Massachusetts General Hospital | 2004Resident - PsychiatryMassachusetts General Hospital/McLean Hospital | 2001Internship - Internal MedicineSalem Hospital, Salem Massachusetts | 2000MD/PhD - Ph.D in BiochemistryBoston University School of Medicine | 1992BS - Biochemistry & Cell BiologyUniversity of California, San Diego ","Rochester, Minnesota",,https://www.mayoclinic.org/biographies/galardy-christine-w-m-d-ph-d/bio-20054926
Daniel K. Hall-Flavin,Psychiatrist ,Clinical outcome studies and gender in substance-related disorders | Pharmacogenomics in clinical practice | Translational psychiatry; neuroethics ,"ASAssociate of King's College (AKC) - King's College London | 2017Master of Science -  Medical Humanities (with Distinction)King's College London | 1984Fellow - Chemical Dependency Fellowship - Mayo Foundation ScholarCornell University | 1983ResidentPsychiatry, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 1983Resident - Adult PsychiatryMayo Graduate School of Medicine, Mayo Clinic College of Medicine | 1980Internship - Internal MedicineMayo Graduate School of Medicine, Mayo Clinic College of Medicine | 1979MDUniversity of Missouri, Kansas City | 1978BA - Biology, with DistinctionUniversity of Missouri, Kansas City |  FellowshipHarvard Macy Institute ","Rochester, Minnesota",,https://www.mayoclinic.org/biographies/hall-flavin-daniel-k-m-d-m-s/bio-20053508
Puanani (Pua) E. Hopson,Pediatric Gastroenterologist ,,"Internship/Residency - PediatricsUniversity of Hawaii | 2014Doctor of Osteopathic MedicineArizona College of Osteopathic Medicine, Midwestern University | 2014Fellow - Osteopathic Medicine Teaching and Research FellowArizona College of Osteopathic Medicine, Midwestern University | 2009Master of Science - Biomedical ScienceCollege of Health Sciences, Midwestern University | 2007BS - KinesiologyIndiana University |  Fellow - Pediatric Gastroenterology, Hepatology, and NutritionOrlando Health, University of Florida ","Rochester, Minnesota","Puanani Hopson D.O., is a pediatric gastroenterologist. Her clinical focus includes:    Gastrointestinal manifestations of eosinophilic disorders, specifically eosinophilic esophagitis     Caring for children with pancreatic disease, specifically exocrine pancreatic disorders and pancreatitis    Care and diagnosis of children with aerodigestive disorders, or problems breathing, feeding, and swallowing    Promoting understanding of disease and treatment for each patient and their caregivers    Collaborating with multidisciplinary teams to provide the best comprehensive care for gastrointestinal related disordersIn addition to her clinic activities, Dr. Hopson remains active in research and education, providing mentorship to pediatric residents and fellows.",https://www.mayoclinic.org/biographies/hopson-puanani-pua-e-d-o/bio-20490306
Arjun S. Sebastian,Orthopedic Surgeon ,,"Fellow - Spine SurgeryRothman Institute;Spine Fellowship | 2016ResidentMayo Clinic School of Graduate Medical Education | 2016ResidentOrthopedic Surgery, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2011MDCase Western Reserve University | 2011MS - Applied AnatomyCase Western Reserve University | 2007BA - BiologyCase Western Reserve University ","Rochester, Minnesota",,https://www.mayoclinic.org/biographies/sebastian-arjun-s-m-d/bio-20360121
Tina J. Hieken,Surgical Oncologist ,Breast cancer surgery | Melanoma surgery | Sentinel lymph node surgery | Minimally invasive surgical oncology | Translational research | Novel therapies and technologies | Microbiome ,"Fellow - Surgical OncologySpecialized Cancer Center, University of Illinois at Chicago | 1991Internship/Residency - General Surgery Residency and InternshipBoston University Affiliated Hospitals | 1986MDBoston University School of Medicine | 1986BACollege of Liberal Arts, Boston University ","Rochester, Minnesota","Tina J. Hieken, M.D., is a surgical oncologist with a specialty interest in melanoma and breast cancer. She has a passionate interest in advancing the care of melanoma patients and the care of patients at high risk for future breast cancer as well as those diagnosed with breast cancer. Her practice philosophy focuses on patient-centered care to provide the best possible oncologic outcomes with excellent aesthetics, while respecting patient needs and preferences. Special interests include:    Neoadjuvant therapy for melanoma and breast cancer    Nipple-sparing mastectomy and oncoplastic breast surgery    Minimally invasive surgery for melanoma and breast disease    Sentinel lymph node surgery    Technical advances in surgery to improve long-term patient outcomes and speed recovery    Ultrasound in surgery    Clinical trialsIn addition to her clinical activities, Dr. Hieken leads research efforts to understand the microbiome in relation to cancer risk, treatment response and the immune system. She is active nationally and internationally in specialty societies and is a member of the Mayo Clinic Comprehensive Cancer Center.",https://www.mayoclinic.org/biographies/hieken-tina-j-m-d/bio-20055458
Kaisorn L. Chaichana,Neurosurgeon ,Brain cancer | Brain tumors | Cerebrospinal fluid (CSF) leaks | Cholesterol granuloma | Chordomas | Chrondrosarcoma | Clival tumors | Encephalocele | Endoscopic repair of nasal cerebrospinal fluid leaks | Endoscopic resection of nasal tumors | Endoscopic skull base surgery | Esthesioneuroblastoma | Glioblastoma | Gliomas | Meningiomas | Metastatic brain tumors | Neurosurgery | Paranasal sinus tumors | Parasellar tumors | Pituitary tumors | Sellar tumors | Skull base tumors | Suprasellar tumors ,Residency - NeurosurgeryJohns Hopkins University School of Medicine | 2014Fellowship - Skull base/Neuro-Oncology FellowshipJohns Hopkins University School of Medicine | 2014Post Doctoral FellowshipJohns Hopkins | 2009Internship - General SurgeryJohns Hopkins University School of Medicine | 2008MDJohns Hopkins University School of Medicine | 2007Fellowship - Stem Cell OncologyJohns Hopkins University School of Medicine | 2003BS - BiologyUniversity of Utah ,"Jacksonville, Florida","Dr. Kaisorn Chaichana is a board certified, fellowship trained neurosurgeon in skull base and brain tumor surgery who offers the most up-to-date and comprehensive treatments for adult patients with both benign and malignant brain tumors. He specializes in the treatment of patients with primary brain tumors such as gliomas, meningiomas and pituitary tumors, as well as skull base and metastatic brain tumors. He practices the most advanced treatments in minimally invasive surgery, endoscopic surgery, and awake brain mapping.",https://www.mayoclinic.org/biographies/chaichana-kaisorn-l-m-d/bio-20392409
Mark A. Whealy,Neurologist ,Evaluation and management of complex headache and facial pain disorders | Performing nerve blocks and botulinus toxin injections ,"FellowHeadache, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2017ResidentNeurology Residency Program, Programs in Rochester | 2017ResidentNeurology, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2014Resident - Preliminary yearInternal Medicine Residency, Department of Internal Medicine | 2013MDTexas Tech University Health Sciences School of Medicine | 2008BS - BiochemistryTexas Tech University ","Rochester, Minnesota","Mark Whealy, M.D., is a neurologist who specializes in the evaluation and management of headache and facial pain disorders. His clinical focus includes:    Diagnosis of complex headache and facial pain disorders    Management of headache and facial pain disorders (i.e. migraine, cluster headache, trigeminal neuralgia, etc.)    Procedural treatment of headache disorders (i.e. cranial nerve blocks and botulinum toxin injections)    Evaluation and management of spontaneous spinal cerebrospinal fluid leaks (also known as spontaneous intracranial hypotension)    Evaluation and management of idiopathic intracranial hypertension (previously pseudotumor cerebri)In addition to his clinical activities, Dr. Whealy is involved in research and education.",https://www.mayoclinic.org/biographies/whealy-mark-a-m-d/bio-20488554
Amit Merchea,Colon and Rectal Surgeon | General Surgeon ,Colon and rectal cancer | Ulcerative colitis | Crohn's disease | Benign diseases of the colon and rectum | Diverticular disease | Presacral tumors ,"Clinical Fellowship - Colon and Rectal SurgeryMayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2013FellowColon and Rectal Surgery, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2012Resident - General SurgeryMayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2012ResidentSurgery, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2007MDSaint Louis University School of Medicine | 2003MS - Medical Imaging SciencesFinch University of Health Sciences / Chicago Medical School | 2002BS - Mathematics and StatisticsUniversity of Western Ontario ","Jacksonville, Florida",,https://www.mayoclinic.org/biographies/merchea-amit-m-d/bio-20055739
Ejigayehu G. Abate,Endocrinologist | Internist ,Metabolic bone disease | Osteoporosis | Hyperparathyroidism/Hypoparathyroidism ,"ResidentEndocrinology, Programs in Florida, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2011FellowEndocrinology Fellowship Program, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2009ResidentChief Medical Resident, Programs in Florida, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2009Chief Medical Resident - Department of Internal MedicineMayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2008Resident - Department of Internal MedicineMayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2008ResidentInternal Medicine, Programs in Florida, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2005MDLoma Linda University School of Medicine | 1999BSUniversity of Redlands ","Jacksonville, Florida",,https://www.mayoclinic.org/biographies/abate-ejigayehu-g-m-d/bio-20055425
Katherine H. Noe,Neurologist ,Epilepsy | Epilepsy surgery | Imaging in epilepsy | Women's issues in epilepsy ,"ResidentClin Neurophysiology EEG/Epile, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 2005Fellow - Clinical Neurophysiology/EpilepsyMayo Clinic College of Medicine and Science | 2003Resident - NeurologyBaylor College of Medicine | 2000Internship - Prelim MedicineUniversity of Maryland School of Medicine/Mercy Medical Center, Baltimore, MD | 1999MDUniversity of Maryland School of Medicine | 1997PhD - PathologyUniversity of Maryland School of Medicine | 1992BS - Biological ScienceCornell University ","Phoenix, Arizona",,https://www.mayoclinic.org/biographies/noe-katherine-h-m-d-ph-d/bio-20054675
Paul R. Young,Urologist ,"Robotic cystectomy | Laparoscopic urologic surgery | Urologic oncology (prostate cancer, kidney cancer, bladder cancer, testicular cancer) | Continent urinary diversion | Benign prostatic hyperplasia management | Urinary stone management ",Chief Resident - Urologic SurgeryDuke University Medical Center | 1992Senior Resident - Urologic SurgeryDuke University Medical Center | 1990Laboratory Resident - Urologic Surgery. Specialized in Urodynamics with Dr. George Webster and performed animal surgery as part of ongoing research on tumor development in augmented bladders.Duke University Medical Center | 1989Junior Assistant Resident - General and Thoracic SurgeryDuke University Medical Center | 1988Internship - General and Thoracic SurgeryDuke University Medical Center | 1987MDUniversity of Connecticut School of Medicine | 1979BA - ChemistryBowdoin College ,"Jacksonville, Florida",,https://www.mayoclinic.org/biographies/young-paul-r-m-d/bio-20054259
Jarrett W. Richardson,Internist | Psychiatrist | Sleep Medicine Specialist ,Deep brain stimulation in Parkinson’s disease | Sleep disorders in alcoholism | Narcolepsy | Quality of life in cancer patients | Electroconvulsive therapy ,"ResidentPsychiatry, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 1978Resident - PsychiatryMayo Graduate School of Medicine, Mayo Clinic College of Medicine | 1976Resident - Internal Medicine (Advanced Clinical Resident, Division of Community Medicine)Mayo Graduate School of Medicine, Mayo Clinic College of Medicine | 1975Resident - Internal MedicineMayo Graduate School of Medicine, Mayo Clinic College of Medicine | 1974Resident - Internal MedicineThe Johns Hopkins Hospital | 1973Internship - Internal MedicineThe Johns Hopkins Hospital | 1972MDThe Johns Hopkins University School of Medicine | 1968BSSamford University ","Rochester, Minnesota",,https://www.mayoclinic.org/biographies/richardson-jarrett-w-iii-m-d/bio-20053952
Hector R. Cajigas,Critical Care Specialist | Pulmonologist ,Assessment and management of patients with pulmonary hypertension | Assessment and management of patients with pulmonary vascular diseases in general | Participation in clinical research trials in pulmonary vascular disease ,"Post-GradNorthwestern University Feinberg School of Medicine | 2000Post-GradCollege of Medicine, University of Illinois | 1995MDSchool of Medicine, Universidad Autonoma de Baja California ","Rochester, Minnesota","Dr. Cajigas is a board-certified Pulmonary and Critical Care physician with special interest in Pulmonary Vascular Diseases  including Pulmonary Hypertension, Pulmonary embolism, Hereditary Hemorrhagic Telangiectasia and Right heart failure among others. Dr. Cajigas' experience and interest in Pulmonary vascular diseases data since his fellowship at Northwestern University Feinberg School of Medicine since the year 2000. He has participated in multiple national and international research trials in the field of pulmonary hypertension. Before joining Mayo Clinic, Dr. Cajigas directed the Pulmonary Hypertension Program at Henry Ford Hospital in Detroit, MI and subsequently became Associate Division Head at Northwestern University, Division of Pulmonary and Critical Care Medicine and practiced in the Pulmonary Hypertension Program. Dr. Cajigas has been recognized by peers, residents and students as an outstanding teacher and clinician. He is always interested in patient's understanding and collaboration in their complex care.",https://www.mayoclinic.org/biographies/cajigas-hector-r-m-d/bio-20457097
Ronald S. Go,Hematologist | Oncologist ,Amyloidosis | Erdheim-Chester disease | Health services and outcomes research | Large granular lymphocyte leukemia  | Multiple myeloma | Non-malignant hematology  ,"ResidentHematology/Oncology, Programs in Rochester, Mayo School of Graduate Medical Education, Mayo Clinic College of Medicine | 1999FellowMayo Clinic Division of Hematology/Oncology Fellowship | 1996Internship/ResidencyBaylor College of Medicine | 1992InternshipSanto Tomas University Hospital | 1991Doctorate of MedicineUniversity of Santo Tomas, College of Science | 1987BS - Medical TechnologyUniversity of Santo Tomas, College of Science ","Rochester, Minnesota",,https://www.mayoclinic.org/biographies/go-ronald-s-m-d/bio-20055650
